Probe set,Descriptions,BCR-ABL-R4 Avg Diff,BCR-ABL-R4 Abs Call,MLL-R5 Avg Diff,MLL-R5 Abs Call,Normal-R4 Avg Diff,Normal-R4 Abs Call,T-ALL-R7 Avg Diff,T-ALL-R7 Abs Call,T-ALL-R8 Avg Diff,T-ALL-R8 Abs Call,Hyperdip>50-2M#3 Avg Diff,Hyperdip>50-2M#3 Abs Call,Hypodip-2M#3 Avg Diff,Hypodip-2M#3 Abs Call,Hypodip-2M#2 Avg Diff,Hypodip-2M#2 Abs Call
AFFX-BioDn-3_at,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),296048.79999999999,P,315496.09999999998,P,171563.5,P,353132.20000000001,P,211747.29999999999,P,87107.699999999997,P,205108.29999999999,P,156959,P
AFFX-CreX-5_at,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),518158.79999999999,P,657373.80000000005,P,298727.59999999998,P,479977.20000000001,P,332127.40000000002,P,116750.89999999999,P,369986,P,344563.20000000001,P
AFFX-CreX-3_at,X03453 Bacteriophage P1 cre recombinase protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),765687.30000000005,P,1072458.5,P,404876.70000000001,P,981473.40000000002,P,592735.69999999995,P,148301.29999999999,P,483879,P,548257.59999999998,P
AFFX-BioB-5_st,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",2960.5999999999999,A,-5931.5,A,523.20000000000005,A,791.10000000000002,A,2138.8000000000002,A,1526.4000000000001,A,473.80000000000001,A,768,A
AFFX-BioB-M_st,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",575.89999999999998,A,7132.6000000000004,A,-444.39999999999998,A,1749.5,P,2587.5,A,79.200000000000003,A,50.700000000000003,A,748.10000000000002,A
AFFX-BioB-3_st,"J04423 E coli bioB gene biotin synthetase  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-947.5,A,2837.5999999999999,A,-1085.5,A,-387,A,580.10000000000002,A,-1258,A,-1408.2,A,537.39999999999998,A
AFFX-BioC-5_st,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),-1909.5,A,-2113.4000000000001,A,-1233.2,A,-1158.7,A,-665.79999999999995,A,-2020.0999999999999,A,-1884.8,A,-1472.4000000000001,A
AFFX-BioC-3_st,J04423 E coli bioC protein  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),-2850.5,A,-1622.3,A,-794.60000000000002,A,-1575.4000000000001,A,455.69999999999999,A,-414.60000000000002,A,157.80000000000001,A,300.80000000000001,A
AFFX-BioDn-5_st,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),3330.9000000000001,A,8253.7999999999993,A,747.39999999999998,A,4753,A,5748.5,A,2190.0999999999999,A,3701.9000000000001,A,3117,A
AFFX-BioDn-3_st,J04423 E coli bioD gene dethiobiotin synthetase  (-5 and -3 represent transcript regions 5 prime and 3 prime respectively),1120.0999999999999,A,1879.2,A,459.60000000000002,A,5492.6000000000004,P,3271.1999999999998,A,775.79999999999995,A,1268.2,A,1816.0999999999999,A
AFFX-CreX-5_st,"X03453 /description=Bacteriophage P1 ORF2, putatitve cre protein",1549,A,5710.6000000000004,P,-261.89999999999998,A,3363.9000000000001,P,3626.5999999999999,A,792.70000000000005,P,1358.3,A,2983.4000000000001,P
AFFX-CreX-3_st,"X03453 /description=Bacteriophage P1 ORF2, putatitve cre protein",615.39999999999998,A,2954.9000000000001,A,928.60000000000002,A,4450.1000000000004,A,455.5,A,217.59999999999999,A,1353.5999999999999,A,1248.9000000000001,A
AFFX-hum_alu_at,U14573 Human Alu-Sq subfamily consensus sequence.,527005.5,P,1142081.6000000001,P,525668.19999999995,P,1082232.8,P,682483.30000000005,P,552365.40000000002,P,712670.90000000002,P,479091.90000000002,P
AFFX-DapX-5_at,"L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",8,A,1035.8,A,-287.19999999999999,A,-1198.9000000000001,A,-761.10000000000002,A,283.80000000000001,A,1131.0999999999999,A,-320.69999999999999,A
AFFX-DapX-M_at,"L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-56.100000000000001,A,2661.1999999999998,A,875.39999999999998,A,3582.9000000000001,A,-1498.2,A,1066.9000000000001,A,-60.100000000000001,A,-1292.3,A
AFFX-DapX-3_at,"L38424 B subtilis dapB, jojF, jojG genes corresponding to nucleotides 1358-3197 of L38424 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-538.39999999999998,A,-1336.9000000000001,A,-308.5,A,-528.60000000000002,A,-3403,A,-280.80000000000001,A,-622.79999999999995,A,-852.5,A
AFFX-LysX-5_at,"X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",776.5,A,1667.7,A,-356.60000000000002,A,822,A,-146.59999999999999,A,676.10000000000002,A,-246.90000000000001,A,-103.59999999999999,A
AFFX-LysX-M_at,"X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-1036.9000000000001,A,-2508.4000000000001,A,771.10000000000002,A,91.400000000000006,A,-2051.9000000000001,A,529.70000000000005,A,454.5,A,134.59999999999999,A
AFFX-LysX-3_at,"X17013 B subtilis lys gene for diaminopimelate decarboxylase corresponding to nucleotides 350-1345 of X17013  (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",872,A,2928,A,-639.29999999999995,A,1505.8,A,-1686.7,A,487.39999999999998,A,632.5,A,230.19999999999999,A
AFFX-PheX-5_at,"M24537 B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",641.10000000000002,A,-585.20000000000005,A,-881.39999999999998,A,1375,A,-1051,A,-364.19999999999999,A,-252.30000000000001,A,-803.5,A
AFFX-PheX-M_at,"M24537 B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-2584.9000000000001,A,-2696.9000000000001,A,-1483.7,A,-479,A,-2365.5,A,-489.69999999999999,A,-383.30000000000001,A,-1187.7,A
AFFX-PheX-3_at,"M24537 B subtilis pheB, pheA genes corresponding to nucleotides 2017-3334 of M24537 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",512.39999999999998,A,1786.5999999999999,A,1393.2,A,1448.7,A,836.60000000000002,A,188.59999999999999,A,819.70000000000005,A,1313.3,A
AFFX-ThrX-5_at,"X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",652.39999999999998,A,2907.8000000000002,A,240.80000000000001,A,-419.89999999999998,A,1320.2,A,-199.09999999999999,A,-908.60000000000002,A,-2.5,A
AFFX-ThrX-M_at,"X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-680.79999999999995,A,-3180,A,-947.20000000000005,A,890.60000000000002,A,102.7,A,96.799999999999997,A,185.40000000000001,A,-575.20000000000005,A
AFFX-ThrX-3_at,"X04603 B subtilis thrC, thrB genes corresponding to nucleotides 248-2229 of X04603 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-1672.5999999999999,A,-123.2,A,-1375.9000000000001,A,-886.39999999999998,A,-1765.5,A,-269.39999999999998,A,-1356.5,A,-1456.0999999999999,A
AFFX-TrpnX-5_at,"K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-1158.0999999999999,A,-1492.3,A,196.59999999999999,A,49.799999999999997,A,-497.30000000000001,A,-361.10000000000002,A,-28.199999999999999,A,-846.10000000000002,A
AFFX-TrpnX-M_at,"K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-638.60000000000002,A,-7442,A,-260.10000000000002,A,241.09999999999999,A,-327.30000000000001,A,-1049.5999999999999,A,-181.90000000000001,A,65.700000000000003,A
AFFX-TrpnX-3_at,"K01391 B subtilis TrpE protein, TrpD protein, TrpC protein corresponding to nucleotides 1883-4400 of K01391 (-5, -M, -3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",1068.4000000000001,A,-492.19999999999999,A,-309.80000000000001,A,-1040.4000000000001,A,2847.9000000000001,A,-423.89999999999998,A,-115,A,1142.4000000000001,A
AFFX-HUMISGF3A/M97935_5_at,"M97935 Homo sapiens transcription factor ISGF-3 mRNA, complete cds (_5, _MA, MB, _3 represent transcript regions 5 prime, MiddleA, MiddleB, and 3 prime respectively)",-1033.7,A,1248.9000000000001,A,-123,A,2157.5,A,170.40000000000001,A,625.29999999999995,A,1797.4000000000001,P,1294.3,P
AFFX-HUMISGF3A/M97935_MA_at,"M97935 Homo sapiens transcription factor ISGF-3 mRNA, complete cds (_5, _MA, MB, _3 represent transcript regions 5 prime, MiddleA, MiddleB, and 3 prime respectively)",1157.5999999999999,A,5936.3000000000002,A,1689.5999999999999,P,5811.8000000000002,P,4554.6000000000004,A,3996.9000000000001,P,6485.3999999999996,P,4259,P
AFFX-HUMISGF3A/M97935_MB_at,"M97935 Homo sapiens transcription factor ISGF-3 mRNA, complete cds (_5, _MA, MB, _3 represent transcript regions 5 prime, MiddleA, MiddleB, and 3 prime respectively)",496.30000000000001,A,2983.4000000000001,A,1809.0999999999999,P,6682.8000000000002,P,3550,P,3522.5999999999999,P,6917.6000000000004,P,3810.3000000000002,P
AFFX-HUMISGF3A/M97935_3_at,"M97935 Homo sapiens transcription factor ISGF-3 mRNA, complete cds (_5, _MA, MB, _3 represent transcript regions 5 prime, MiddleA, MiddleB, and 3 prime respectively)",3065.9000000000001,A,5450.1999999999998,P,3623.8000000000002,P,7224.8999999999996,P,7459.8999999999996,P,5814,P,13286.4,P,7357.8999999999996,P
AFFX-HUMRGE/M10098_5_at,"M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",864.29999999999995,A,-1045.9000000000001,A,486,A,-1272.5999999999999,A,1660.5,A,-406.60000000000002,A,482.89999999999998,A,124.3,A
AFFX-HUMRGE/M10098_M_at,"M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-1085.2,A,-3779,A,-734.20000000000005,A,-2034.7,A,-1244.2,A,-1484.2,A,-1400.0999999999999,A,-539,A
AFFX-HUMRGE/M10098_3_at,"M10098 Human 18S rRNA gene, complete (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",551,A,2093.0999999999999,A,53.299999999999997,A,-771.39999999999998,A,2496.5999999999999,A,-848.5,A,31.100000000000001,A,-485.30000000000001,A
AFFX-HUMGAPDH/M33197_5_at,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",29170.900000000001,P,172955.39999999999,P,134481.79999999999,P,221157,P,265251.40000000002,P,135974.70000000001,P,149790.60000000001,P,195045.10000000001,P
AFFX-HUMGAPDH/M33197_M_at,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",77338.5,P,185971,P,159141.89999999999,P,261233.5,P,317938.70000000001,P,138411.79999999999,P,171289.5,P,210121.20000000001,P
AFFX-HUMGAPDH/M33197_3_at,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",177218.60000000001,P,212617.5,P,151374.10000000001,P,323459.40000000002,P,279778.90000000002,P,166333.89999999999,P,171692.5,P,195456.10000000001,P
AFFX-HSAC07/X00351_5_at,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",20506.200000000001,P,270869.20000000001,P,121311,P,416879.5,P,269534.20000000001,P,256006.29999999999,P,172455.29999999999,P,195881.60000000001,P
AFFX-HSAC07/X00351_M_at,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",46025.800000000003,P,318792.09999999998,P,148677.10000000001,P,546047.80000000005,P,293552.79999999999,P,275504,P,227412.79999999999,P,217267.20000000001,P
AFFX-HSAC07/X00351_3_at,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",227581.20000000001,P,270461.79999999999,P,164115.79999999999,P,456677.20000000001,P,278069.20000000001,P,229375,P,247884.29999999999,P,238614.79999999999,P
AFFX-HUMTFRR/M11507_5_at,"M11507 Human transferrin receptor mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",1234.4000000000001,A,2992.5,A,865.39999999999998,A,1683.8,A,667.60000000000002,A,620.29999999999995,A,783.79999999999995,A,1453.9000000000001,A
AFFX-HUMTFRR/M11507_M_at,"M11507 Human transferrin receptor mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-180.09999999999999,A,-1676.4000000000001,A,834.79999999999995,A,376.30000000000001,A,3096.4000000000001,A,752,P,672,A,1456,P
AFFX-HUMTFRR/M11507_3_at,"M11507 Human transferrin receptor mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",2276.6999999999998,A,2974.0999999999999,A,2230.6999999999998,P,3183.0999999999999,P,3789.0999999999999,P,1089.7,M,2374.8000000000002,M,2649.8000000000002,A
AFFX-M27830_5_at,"M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",1117,A,5219.3000000000002,A,1960.3,P,-783.89999999999998,A,6743.1000000000004,P,-427.30000000000001,A,-247.59999999999999,A,2843.5,P
AFFX-M27830_M_at,"M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",7044.3000000000002,P,9837.6000000000004,P,4487.3000000000002,A,903.29999999999995,A,10220.4,A,1978.2,A,512,A,2077.5999999999999,A
AFFX-M27830_3_at,"M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-1004.4,A,9694.1000000000004,A,1646.4000000000001,A,1154.5999999999999,A,2316.8000000000002,A,-79.200000000000003,A,-701,A,3843.9000000000001,P
AFFX-HSAC07/X00351_3_st,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",11388.799999999999,P,19925.099999999999,P,14762.9,P,21755.099999999999,P,12844.1,P,5368.3000000000002,P,5684.1000000000004,P,6632.8999999999996,P
AFFX-HUMGAPDH/M33197_5_st,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",3424.5,A,3671.6999999999998,A,1970.9000000000001,A,770.60000000000002,A,5756.1000000000004,A,1147,A,142.90000000000001,A,3949.9000000000001,P
AFFX-HUMGAPDH/M33197_M_st,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-66.5,A,3287.5999999999999,P,1999.8,A,1397.2,A,1423.3,A,706.60000000000002,A,659.29999999999995,A,1773.7,P
AFFX-HUMGAPDH/M33197_3_st,"M33197 Human glyceraldehyde-3-phosphate dehydrogenase (GAPDH) mRNA, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",1951.8,A,1488.3,A,2017.5,A,2857,A,3034.9000000000001,A,756.89999999999998,A,249.90000000000001,A,2919.1999999999998,A
AFFX-HSAC07/X00351_5_st,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",-407.19999999999999,A,-3783.6999999999998,A,469.30000000000001,A,1668.3,A,423.5,A,77.900000000000006,A,1268.7,A,362.80000000000001,A
AFFX-HSAC07/X00351_M_st,"X00351 Human mRNA for beta-actin (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively)",935,A,-248.69999999999999,A,1774.5999999999999,A,2702,P,1925.5,A,1338.2,P,1751.4000000000001,P,1811,A
AFFX-YEL002c/WBP1_at,X61388 SGD: YEL002C Yeast S.cerevisiae WBP1 Oligosaccharyltransferase beta subunit,551.89999999999998,A,-1423.0999999999999,A,158.40000000000001,A,-187.80000000000001,A,293.89999999999998,A,296.39999999999998,A,-179.40000000000001,A,-278.5,A
AFFX-YEL018w/_at,U18530 SGD:YEL018W Yeast S. cerevisiae Protein of unknown function,-151.59999999999999,A,-222.19999999999999,A,539.20000000000005,A,-222.19999999999999,A,701.70000000000005,A,-665.70000000000005,A,-574.20000000000005,A,14.699999999999999,A
AFFX-YEL024w/RIP1_at,M23316 SGD:YEL024C Yeast S.cerevisiae RIP1 Rieske iron-sulfur protein of the mitochondrial cytochrome bc1 complex .,19.699999999999999,A,2035,A,205,A,158.19999999999999,A,-293.60000000000002,A,230.5,A,820.20000000000005,P,570.60000000000002,A
AFFX-YEL021w/URA3_at,K02207 SGD:YEL021W Yeast S.cerevisiae URA3 gene coding for OMP decarboxylase,2004.8,A,-323.60000000000002,A,1795.0999999999999,A,756.70000000000005,A,4646.8999999999996,P,1281.7,A,909.39999999999998,A,1814.5999999999999,M
31307_at,"Cluster Incl. L17325:Human pre-T/NK cell associated protein (1D12A2) mRNA, complete cds /cds=(4,63) /gb=L17325 /gi=306322 /ug=Hs.278 /len=492",-530.89999999999998,A,1421.3,A,-427.89999999999998,A,1155,A,2130.3000000000002,A,-1043.5999999999999,A,-93.599999999999994,A,40.799999999999997,A
31308_at,"Cluster Incl. L17330:Human pre-T/NK cell associated protein (6H9A) mRNA, complete cds /cds=(94,267) /gb=L17330 /gi=306436 /ug=Hs.280 /len=641",-737.20000000000005,A,-1924.7,A,302.80000000000001,A,-527.20000000000005,A,484.30000000000001,A,114.90000000000001,A,-132.19999999999999,A,176.19999999999999,A
31309_r_at,"Cluster Incl. U50277:Human breast cancer suppressor element Ishmael Upper CP1 mRNA, partial cds /cds=(0,95) /gb=U50277 /gi=1224126 /ug=Hs.121485 /len=132",-66.700000000000003,A,1768.0999999999999,A,828.60000000000002,A,-555.79999999999995,A,-1586,A,-325,A,364.30000000000001,A,87.400000000000006,A
31310_at,"Cluster Incl. X52009:H.sapiens alpha-1 strychnine binding subunit of inhibitory glycine receptor mRNA /cds=(296,1645) /gb=X52009 /gi=31850 /ug=Hs.121490 /len=1715",632.39999999999998,A,1366.5,M,-670.39999999999998,A,419.10000000000002,A,-2530.4000000000001,A,-75.700000000000003,A,30.300000000000001,A,1463.3,P
31311_at,"Cluster Incl. X61070:Human mRNA for T cell receptor, clone IGRA15 /cds=(0,356) /gb=X61070 /gi=33508 /ug=Hs.121492 /len=425",273.80000000000001,A,-745.10000000000002,A,1439.7,A,-1110.0999999999999,A,399.80000000000001,A,-36.700000000000003,A,-848.79999999999995,A,2168.5999999999999,A
31312_at,"Cluster Incl. U69962:Human delayed rectifier potassium channel protein mRNA, complete cds /cds=(2,2422) /gb=U69962 /gi=1546838 /ug=Hs.121498 /len=2435",1048.4000000000001,A,-2869.9000000000001,A,-57.100000000000001,A,-1054.0999999999999,A,1075.9000000000001,A,162.80000000000001,A,-618.79999999999995,A,-792.79999999999995,A
31313_at,"Cluster Incl. D17716:Human mRNA for N-acetylglucosaminyltransferase V, complete cds /cds=(145,2370) /gb=D17716 /gi=469489 /ug=Hs.121502 /len=2421",-1635.9000000000001,A,-4384.1999999999998,A,-740.79999999999995,A,-825.5,A,-1958.2,A,-803.39999999999998,A,-1174.5,A,1130.2,A
31314_at,"Cluster Incl. M22491:Human bone morphogenetic protein-3 (BMP-3) mRNA /cds=(320,1738) /gb=M22491 /gi=179505 /ug=Hs.121507 /len=1774",506.39999999999998,A,1380.2,A,139.59999999999999,A,-25.399999999999999,A,-587.79999999999995,A,3.8999999999999999,A,444.60000000000002,A,385.80000000000001,A
31315_at,"Cluster Incl. D84143:Human immunoglobulin (mAb59) light chain V region mRNA, partial sequence /cds=(0,333) /gb=D84143 /gi=1255613 /ug=Hs.121508 /len=334",3380.3000000000002,A,355.39999999999998,A,404.60000000000002,A,3568.3000000000002,P,1848.5,A,5528.1999999999998,P,1626.0999999999999,A,2459.0999999999999,A
31316_at,"Cluster Incl. L09234:Human vacuolar ATPase (isoform HO68) mRNA, complete cds /cds=(59,1906) /gb=L09234 /gi=291865 /ug=Hs.603 /len=3118",524.5,A,-2803.0999999999999,A,403.19999999999999,A,-1008.4,A,418.60000000000002,A,90.700000000000003,A,2.7000000000000002,A,212.40000000000001,A
31317_r_at,"Cluster Incl. M21388:Human unproductively rearranged Ig mu-chain mRNA V-region (VD), 5 end, clone mu-3A1A /cds=(0,89) /gb=M21388 /gi=185160 /ug=Hs.123017 /len=141",5549.5,A,13481.5,M,7651.8000000000002,M,5575.1000000000004,A,6279.5,A,5081.8999999999996,A,6793.8000000000002,A,8166.5,A
31318_at,"Cluster Incl. S80491:stem cell factor {alternatively spliced} [human, preimplantation embryos, blastocysts, mRNA Partial, 180 nt] /cds=(0,113) /gb=S80491 /gi=1246099 /ug=Hs.123028 /len=180",-1575.7,A,1623.8,A,-749.60000000000002,A,774.5,A,112.90000000000001,A,-140.69999999999999,A,415.60000000000002,M,-382,A
31319_at,"Cluster Incl. M20707:Human kappa-immunoglobulin germline pseudogene (Chr22.4) variable region (subgroup V kappa II) /cds=(0,320) /gb=M20707 /gi=185954 /ug=Hs.123030 /len=363",-52.399999999999999,A,-3928,A,1137.5999999999999,A,257.30000000000001,A,1969.5999999999999,A,1145.4000000000001,A,-168.30000000000001,A,238.40000000000001,A
31320_at,"Cluster Incl. U18548:Human GPR12 G protein coupled-receptor gene, complete cds /cds=(15,1019) /gb=U18548 /gi=604499 /ug=Hs.123034 /len=1101",1279.8,A,-3531.5,A,-301.60000000000002,A,-4222.5,A,-2810.3000000000002,A,281.10000000000002,A,-992.70000000000005,A,-2632.1999999999998,A
31321_at,"Cluster Incl. U41737:Human pancreatic beta cell growth factor (INGAP) mRNA, complete cds /cds=(5,520) /gb=U41737 /gi=1514681 /ug=Hs.123060 /len=586",1738.8,A,414.30000000000001,A,1198.3,A,879.79999999999995,A,3254,A,1752.9000000000001,A,2035.8,A,2603,A
31322_at,"Cluster Incl. X61079:Human mRNA for T cell receptor, clone IGRA24 /cds=(0,142) /gb=X61079 /gi=33521 /ug=Hs.123062 /len=235",1155.7,A,850.29999999999995,A,964.89999999999998,A,1487.3,A,661.39999999999998,A,329.60000000000002,A,727.29999999999995,A,-1035.9000000000001,A
31323_r_at,"Cluster Incl. S83374:glutamate transporter II variant B/HBGT IIB {5 region} [human, brain and spinal cord, mRNA Partial Mutant, 129 nt] /cds=(26,55) /gb=S83374 /gi=1911635 /ug=Hs.123079 /len=129",2896,A,-7530.5,A,-1140.7,A,-2194.9000000000001,A,622.89999999999998,A,-3453.9000000000001,A,320.69999999999999,A,1232.3,A
31324_at,"Cluster Incl. U82303:Homo sapiens unknown protein mRNA, partial cds /cds=(0,257) /gb=U82303 /gi=1938329 /ug=Hs.123080 /len=344",30.399999999999999,A,6030.8999999999996,A,1084.8,A,-347.60000000000002,A,2145.4000000000001,A,287.60000000000002,A,1598.8,P,2358.3000000000002,A
